Job Title,Company,Location,Experience,Min Experience,Max Experience,Salary Label,Min Salary (INR),Max Salary (INR),Job Role,Skills
Data Analyst,Norinco,pallikaranai,1-2 Yrs,1,2,2.5-3.25 Lacs,250000.0,325000.0,Port & Maritime Operations - Other,"Data Validation & Quality Assurance, Data Visualization & Analysis, Real-Time Data Monitoring, Buoy Monitoring & Management"
Data Analyst,Indium Corporation,Hyderabad,1-2 Yrs,1,2,Not Disclosed,0.0,0.0,Data Analyst,"IT services, Business analysis, Analytical, Standard operating procedures, Data Analyst, Operations, Analytics, SQL, Business operations, Data extraction"
Data Analyst,Indium Corporation,Hyderabad,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"IT services, SQL queries, Automation, Database, Data structures, Data processing, Data Analyst, data visualization, Python, Scripting"
Data Analyst,Hunger Inc,Mumbai (All Areas),3-8 Yrs,3,8,20-25 Lacs,2000000.0,2500000.0,Analyst - Financial Planning & Analysis,"Financial Reporting, Financial Analytics, Financial Forecasting, Analysis, Data Analysis, Budgeting, Forecasting, Financial Analysis"
Data Analyst,Guidehouse,Thiruvananthapuram,1-6 Yrs,1,6,Not Disclosed,0.0,0.0,Data Analyst,"Process automation, SAN, Backend, Data analysis, Staffing, Process improvement, Resource management, Macros, Analytics, Python"
Data Analyst,Vrinda International,Coimbatore,2-6 Yrs,2,6,Not Disclosed,0.0,0.0,Data Analyst,"Data analysis, Automation, Business reporting, power bi, Data Analyst, data visualization, Analytics, SQL, Data extraction, Python"
Data Analyst,BMW Techworks India,Pune,3-6 Yrs,3,6,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, data analysis, modeling, sas, bi, database mirroring, power bi, machine learning, analysis"
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,India,7-12 Yrs,7,12,Not Disclosed,0.0,0.0,Data Analyst,"Data Analytics, Power Bi"
Python Data Analyst,Trigyn Technologies,Mumbai (All Areas),3-8 Yrs,3,8,Not Disclosed,0.0,0.0,Back End Developer,"Pandas, Flask, Django"
Hiring Data Analyst (SQL+Python),Motivity Labs,Hyderabad,5-9 Yrs,5,9,Not Disclosed,0.0,0.0,Software Development - Other,"SQL Development, SQL Queries, SQL Coding, Analytics, Prompt Engineering, Generative Ai Tools, Data Visualization, Data Modeling, ETL, Complex Sql Query"
Data Analyst,Lloyds Offshore Global Services,Hyderabad,2-6 Yrs,2,6,Not Disclosed,0.0,0.0,Data Analyst,"Change management, Data management, Management systems, IT security, Strategic planning, Support services, Data Analyst, Risk management, Data warehousing, SQL"
Data Analyst,Lloyds Offshore Global Services,Hyderabad,5-11 Yrs,5,11,Not Disclosed,0.0,0.0,Data Analyst,"Change management, Usage, Data management, GCP, Management systems, Project management, Design development, Support services, SQL, Python"
Data Analyst,Lloyds Offshore Global Services,Hyderabad,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"Change management, Data management, Management systems, IT security, Strategic planning, Support services, Data Analyst, Risk management, Data warehousing, SQL"
Data Analyst Data Office,Optimum Solutions,Chennai,3-8 Yrs,3,8,Not Disclosed,0.0,0.0,Data Analyst,"Computer science, SAS, Machine learning, Data processing, data visualization, Stakeholder management, Information technology, Analytics, SQL, Python"
Data Analyst/WFM Analyst,Net Impact Solutions,Noida,4-6 Yrs,4,6,Not Disclosed,0.0,0.0,Other,Workforce Management
Data Analyst,Greencell Mobility,Mumbai (All Areas),5-10 Yrs,5,10,5-10 Lacs,500000.0,1000000.0,MIS Executive,"Excel, Power Bi, MIS, Advanced Excel, MIS Reporting, MIS Operations"
Data Analyst,Creditsafe,Hyderabad,4-6 Yrs,4,6,Not Disclosed,0.0,0.0,Data Analyst,"Data analysis, Manager Quality Assurance, Business transformation, Data management, Process improvement, Customer retention, Data quality, Business intelligence, Continuous improvement, Gaming"
Data Analyst,Puresoftware Technology,Noida,2-7 Yrs,2,7,Not Disclosed,0.0,0.0,Data Analyst,"Data Pipeline, Dashboards, Reporting, SQL, Power Bi"
Data Analyst,Kawen Manpower,Bengaluru,1-4 Yrs,1,4,Not Disclosed,0.0,0.0,Data Analyst,"Procurement, Data analysis, VLOOKUP, Analytical, Business intelligence, Macros, Operations, Internship, SQL, Data extraction"
Data Analyst,Puresoftware Technology,Gurugram,3-7 Yrs,3,7,10-18 Lacs,1000000.0,1800000.0,Data Science & Analytics - Other,"Airflow, Tableau, Python, Power Bi"
Data Analyst,The Briminc,Bengaluru,1-3 Yrs,1,3,Not Disclosed,0.0,0.0,Data Analyst,"Computer science, Automation, Data analysis, Analytical, Machine learning, Workflow, Analytics, SQL, Python, Data extraction"
Data Analyst,Augie,Bengaluru,0-3 Yrs,0,3,Not Disclosed,0.0,0.0,Data Analyst,"Market analysis, Usage, Excel, Data collection, Database, Data Analyst, data visualization, Troubleshooting, Powerpoint"
"Online Data Analyst - ""Bengali""",TELUS Digital,India,0-2 Yrs,0,2,Not Disclosed,0.0,0.0,IT Support - Other,"English Writing, Google Maps, Good English Communication, Bengali Content, Mapping, Bengali"
Data Analyst,Ocwen Financial Corporation,Pune,6-9 Yrs,6,9,Not Disclosed,0.0,0.0,Data Science & Machine Learning - Other,"Power Bi, Artificial Intelligence"
Data Analyst,Aaheli Consultants,Gurugram,5-8 Yrs,5,8,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"Microsoft Power Bi, Data Cleansing, Power Query, SQL, Dax Queries, Azure Data Factory, Data Analysis, RLS, Data Visualization, Dax, Power Bi"
Data Analyst,PCI India,New Delhi,1-5 Yrs,1,5,Not Disclosed,0.0,0.0,Data Analyst,"Economics, Data analysis, Data collection, Performance appraisal, Data Analyst, microsoft, Powerpoint, Advertising, Statistics, Recruitment"
"Data Analyst ( APLD , LAAD)",Pri India It Services,Bengaluru,5-9 Yrs,5,9,9-13 Lacs,900000.0,1300000.0,Healthcare & Life Sciences - Other,"Life Sciences, Patient Level Data, Clinical, Data Analyst, Medical, Pharmaceutical, pharma, healthcare, APLD"
Data Analyst,Talentpull And Infrastructure,Gurugram,0-2 Yrs,0,2,2-4.25 Lacs,200000.0,425000.0,Telecom - Other,"Capa, Google Sheets, RCA, Excel, SLAS, SOP"
Salesforce Data Analyst,Luxoft,Pune,8-10 Yrs,8,10,15-25 Lacs,1500000.0,2500000.0,Other,"KYC, Salesforce Data Analyst"
Data Verification Analyst,Foundation Ai,Kolkata,0-5 Yrs,0,5,Not Disclosed,0.0,0.0,Data Analyst,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards"
Data Analyst,Kiya.ai,Mumbai Suburban,5-7 Yrs,5,7,5-11 Lacs,500000.0,1100000.0,Data Science & Analytics - Other,"Data Analysis, Power Bi"
